date_key,year,quarter,month,month_name,year_quarter,date
20210101,2021,Q1,1,Jan,2021 Q1,2021-01-01
20210201,2021,Q1,2,Feb,2021 Q1,2021-02-01
20210301,2021,Q1,3,Mar,2021 Q1,2021-03-01
20210401,2021,Q2,4,Apr,2021 Q2,2021-04-01
20210501,2021,Q2,5,May,2021 Q2,2021-05-01
20210601,2021,Q2,6,Jun,2021 Q2,2021-06-01
20210701,2021,Q3,7,Jul,2021 Q3,2021-07-01
20210801,2021,Q3,8,Aug,2021 Q3,2021-08-01
20210901,2021,Q3,9,Sep,2021 Q3,2021-09-01
20211001,2021,Q4,10,Oct,2021 Q4,2021-10-01
20211101,2021,Q4,11,Nov,2021 Q4,2021-11-01
20211201,2021,Q4,12,Dec,2021 Q4,2021-12-01
20220101,2022,Q1,1,Jan,2022 Q1,2022-01-01
20220201,2022,Q1,2,Feb,2022 Q1,2022-02-01
20220301,2022,Q1,3,Mar,2022 Q1,2022-03-01
20220401,2022,Q2,4,Apr,2022 Q2,2022-04-01
20220501,2022,Q2,5,May,2022 Q2,2022-05-01
20220601,2022,Q2,6,Jun,2022 Q2,2022-06-01
20220701,2022,Q3,7,Jul,2022 Q3,2022-07-01
20220801,2022,Q3,8,Aug,2022 Q3,2022-08-01
20220901,2022,Q3,9,Sep,2022 Q3,2022-09-01
20221001,2022,Q4,10,Oct,2022 Q4,2022-10-01
20221101,2022,Q4,11,Nov,2022 Q4,2022-11-01
20221201,2022,Q4,12,Dec,2022 Q4,2022-12-01
20230101,2023,Q1,1,Jan,2023 Q1,2023-01-01
20230201,2023,Q1,2,Feb,2023 Q1,2023-02-01
20230301,2023,Q1,3,Mar,2023 Q1,2023-03-01
20230401,2023,Q2,4,Apr,2023 Q2,2023-04-01
20230501,2023,Q2,5,May,2023 Q2,2023-05-01
20230601,2023,Q2,6,Jun,2023 Q2,2023-06-01
20230701,2023,Q3,7,Jul,2023 Q3,2023-07-01
20230801,2023,Q3,8,Aug,2023 Q3,2023-08-01
20230901,2023,Q3,9,Sep,2023 Q3,2023-09-01
20231001,2023,Q4,10,Oct,2023 Q4,2023-10-01
20231101,2023,Q4,11,Nov,2023 Q4,2023-11-01
20231201,2023,Q4,12,Dec,2023 Q4,2023-12-01
20240101,2024,Q1,1,Jan,2024 Q1,2024-01-01
20240201,2024,Q1,2,Feb,2024 Q1,2024-02-01
20240301,2024,Q1,3,Mar,2024 Q1,2024-03-01
20240401,2024,Q2,4,Apr,2024 Q2,2024-04-01
20240501,2024,Q2,5,May,2024 Q2,2024-05-01
20240601,2024,Q2,6,Jun,2024 Q2,2024-06-01
20240701,2024,Q3,7,Jul,2024 Q3,2024-07-01
20240801,2024,Q3,8,Aug,2024 Q3,2024-08-01
20240901,2024,Q3,9,Sep,2024 Q3,2024-09-01
20241001,2024,Q4,10,Oct,2024 Q4,2024-10-01
20241101,2024,Q4,11,Nov,2024 Q4,2024-11-01
