year,end_market,revenue_usd_m,source_id
2025,Smart Mobile Devices,2678,S07
2025,Communications Infrastructure & Datacenter,745,S07
2025,Automotive,1410,S07
2025,Home and Industrial IoT,1189,S07
2025,Non-Wafer and Corporate Other,769,S07
2024,Smart Mobile Devices,3048,S07
2024,Communications Infrastructure & Datacenter,577,S07
2024,Automotive,1206,S07
2024,Home and Industrial IoT,1267,S07
2024,Non-Wafer and Corporate Other,652,S07
2023,Smart Mobile Devices,3023,S07
2023,Communications Infrastructure & Datacenter,863,S07
2023,Automotive,1046,S07
2023,Home and Industrial IoT,1604,S07
2023,Non-Wafer and Corporate Other,856,S07
