ticker,company,sector_id,currency,price,mkt_cap_bn,ev_bn,revenue_ttm_bn,ebitda_ttm_bn,net_income_ttm_bn,pe_ttm,ev_ebitda,ev_sales,fcf_ttm_bn,net_debt_bn,beta_5y,as_of,source_id
GFS,GlobalFoundries Inc.,1,USD,50.01,27.44,25.4,6.84,2.1,0.778,36.0,12.1,3.71,1.074,-2.05,1.76,2026-08-03,S07
UMC,United Microelectronics,1,USD,18.69,45.65,43.07,7.88,2.96,2.62,17.4,14.53,5.47,1.92,-2.64,1.57,2026-08-03,S09
TSEM,Tower Semiconductor,1,USD,234.32,26.42,25.08,1.71,0.276,0.29,92.65,90.77,14.67,0.301,-1.34,0.9,2026-08-04,S09
TSM,TSMC,1,USD,415.53,1850.0,,139.57,,,26.56,,,,,,2026-08-04,S09
ON,ON Semiconductor,1,USD,81.15,31.58,,6.2,,,51.93,,,,,,2026-08-04,S09
OMV,OMV Aktiengesellschaft,3,EUR,54.6,17.62,24.16,23.38,5.4,2.36,16.74,4.2,1.03,0.794,2.79,0.21,2026-06-30,S08
SHEL,Shell plc,3,USD,89.49,254.3,,296.6,,,9.79,,,,,,2026-08-04,S09
TTE,TotalEnergies SE,3,USD,85.32,195.47,,196.38,,,10.96,,,,,,2026-08-04,S09
E,Eni S.p.A.,3,USD,53.49,79.46,,102.74,,,13.82,,,,,,2026-08-04,S09
BP,BP p.l.c.,3,USD,42.3,114.52,,215.28,,,20.86,,,,,,2026-08-04,S09
BX,Blackstone Inc.,4,USD,136.27,169.49,,15.48,,,30.51,,,,,,2026-08-04,S09
APO,Apollo Global Management,4,USD,130.19,75.06,,35.6,,,81.92,,,,,,2026-08-04,S09
ARES,Ares Management,4,USD,141.16,46.56,,5.99,,,62.43,,,,,,2026-08-04,S09
OWL,Blue Owl Capital,4,USD,11.42,17.8,,2.99,,,95.88,,,,,,2026-08-04,S09
TPG,TPG Inc.,4,USD,48.76,18.74,,3.73,,,139.03,,,,,,2026-08-04,S09
TMO,Thermo Fisher Scientific,2,USD,565.99,209.27,,46.34,,,30.89,,,,,,2026-08-04,S09
WST,West Pharmaceutical Services,2,USD,345.71,24.33,,3.33,,,44.31,,,,,,2026-08-04,S09
CRL,Charles River Laboratories,2,USD,235.0,11.32,,4.03,,,,,,,,,2026-08-04,S09
ICLR,ICON plc,2,USD,156.62,12.08,,8.29,,,434.32,,,,,,2026-08-04,S09
A,Agilent Technologies,2,USD,138.78,39.2,,7.23,,,28.06,,,,,,2026-08-04,S09
