source_id,source_name,source_url,as_of_date,source_class
S01,Mubadala press release - 2025 annual results,https://www.mubadala.com/en/news/strong-performance-by-uae-portfolio-drives-mubadalas-growth-in-2025,2026-04-09,Official
S02,Mubadala 2025 Annual Review - Performance Overview,https://annual2025.mubadala.com/en/performance-overview,2026-04-09,Official
S03,Mubadala 2025 Annual Review - Key Investment Highlights,https://annual2025.mubadala.com/en/key-investment-highlights,2026-04-09,Official
S04,Mubadala corporate site - Our Structure (platforms),https://www.mubadala.com/en/who-we-are/our-structure,2026-08-04,Official
S05,Mubadala press release - WHOOP Series G,https://www.mubadala.com/en/news/whoop-raises-dollar-575-million-at-dollar-10-billion-valuation-to-advance-global-health-platform,2026-03-31,Official
S06,Mubadala newsroom - 2026 transaction announcements,https://www.mubadala.com/en/media,2026-08-04,Official
S07,StockAnalysis / S&P Global Market Intelligence - GlobalFoundries (GFS),https://stockanalysis.com/stocks/gfs/statistics/,2026-08-03,Market data
S08,StockAnalysis / S&P Global Market Intelligence - OMV AG (VIE:OMV),https://stockanalysis.com/quote/vie/OMV/statistics/,2026-06-30,Market data
S09,StockAnalysis - listed peer comparison tables,https://stockanalysis.com/stocks/compare/,2026-08-04,Market data
S10,Analyst estimate constructed for this project,n/a,2026-08-04,Analyst estimate
