year,metric,value,basis,source_id
2025,AUM (AED bn),1414.0,Official,S01
2025,AUM (USD bn),385.0,Official,S01
2024,AUM (USD bn),329.1,Derived from +17% YoY disclosure,S01
2025,AUM growth YoY (%),17.0,Official,S01
2025,5-year annualised IRR (%),10.7,Official,S01
2025,10-year annualised IRR (%),10.3,Official,S01
2025,Capital deployed (USD bn),39.0,Official,S01
2025,Capital deployed (AED bn),143.0,Official,S01
2025,Proceeds (USD bn),38.0,Official,S01
2025,Proceeds (AED bn),138.0,Official,S01
2025,Deployment growth YoY (%),20.0,Official,S01
2025,Proceeds growth YoY (%),27.0,Official,S01
