year,metric,value,source_class,source_url
2025,10-year annualised IRR (%),10.3,Official,https://www.mubadala.com/en/news/strong-performance-by-uae-portfolio-drives-mubadalas-growth-in-2025
2025,5-year annualised IRR (%),10.7,Official,https://www.mubadala.com/en/news/strong-performance-by-uae-portfolio-drives-mubadalas-growth-in-2025
2025,AUM (AED bn),1414.0,Official,https://www.mubadala.com/en/news/strong-performance-by-uae-portfolio-drives-mubadalas-growth-in-2025
2025,AUM (USD bn),385.0,Official,https://www.mubadala.com/en/news/strong-performance-by-uae-portfolio-drives-mubadalas-growth-in-2025
2025,AUM growth YoY (%),17.0,Official,https://www.mubadala.com/en/news/strong-performance-by-uae-portfolio-drives-mubadalas-growth-in-2025
2025,Capital deployed (AED bn),143.0,Official,https://www.mubadala.com/en/news/strong-performance-by-uae-portfolio-drives-mubadalas-growth-in-2025
2025,Capital deployed (USD bn),39.0,Official,https://www.mubadala.com/en/news/strong-performance-by-uae-portfolio-drives-mubadalas-growth-in-2025
2025,Deployment growth YoY (%),20.0,Official,https://www.mubadala.com/en/news/strong-performance-by-uae-portfolio-drives-mubadalas-growth-in-2025
2025,Proceeds (AED bn),138.0,Official,https://www.mubadala.com/en/news/strong-performance-by-uae-portfolio-drives-mubadalas-growth-in-2025
2025,Proceeds (USD bn),38.0,Official,https://www.mubadala.com/en/news/strong-performance-by-uae-portfolio-drives-mubadalas-growth-in-2025
2025,Proceeds growth YoY (%),27.0,Official,https://www.mubadala.com/en/news/strong-performance-by-uae-portfolio-drives-mubadalas-growth-in-2025
