sector_name,ticker,company,mkt_cap_bn,pe_ttm,sector_mean_pe,vs_sector_mean,pe_quartile
Energy & Sustainability,SHEL,Shell plc,254.3,9.8,14.4,-4.6,1
Energy & Sustainability,TTE,TotalEnergies SE,195.5,11.0,14.4,-3.5,1
Energy & Sustainability,E,Eni S.p.A.,79.5,13.8,14.4,-0.6,2
Energy & Sustainability,OMV,OMV Aktiengesellschaft,17.6,16.7,14.4,2.3,3
Energy & Sustainability,BP,BP p.l.c.,114.5,20.9,14.4,6.4,4
Financial Services,BX,Blackstone Inc.,169.5,30.5,82.0,-51.4,1
Financial Services,ARES,Ares Management,46.6,62.4,82.0,-19.5,1
Financial Services,APO,Apollo Global Management,75.1,81.9,82.0,-0.0,2
Financial Services,OWL,Blue Owl Capital,17.8,95.9,82.0,13.9,3
Financial Services,TPG,TPG Inc.,18.7,139.0,82.0,57.1,4
Healthcare & Life Sciences,A,Agilent Technologies,39.2,28.1,134.4,-106.3,1
Healthcare & Life Sciences,TMO,Thermo Fisher Scientific,209.3,30.9,134.4,-103.5,2
Healthcare & Life Sciences,WST,West Pharmaceutical Services,24.3,44.3,134.4,-90.1,3
Healthcare & Life Sciences,ICLR,ICON plc,12.1,434.3,134.4,299.9,4
Technology,UMC,United Microelectronics,45.7,17.4,44.9,-27.5,1
Technology,TSM,TSMC,1850.0,26.6,44.9,-18.3,1
Technology,GFS,GlobalFoundries Inc.,27.4,36.0,44.9,-8.9,2
Technology,ON,ON Semiconductor,31.6,51.9,44.9,7.0,3
Technology,TSEM,Tower Semiconductor,26.4,92.7,44.9,47.7,4
