ticker,company,sector_id,currency,price,mkt_cap_bn,ev_bn,revenue_ttm_bn,ebitda_ttm_bn,net_income_ttm_bn,pe_ttm,ev_ebitda,ev_sales,fcf_ttm_bn,net_debt_bn,beta_5y,as_of,source_id,ps_ratio,log_mkt_cap,log_revenue,log_pe,cluster,pc1,pc2
GFS,GlobalFoundries Inc.,1,USD,50.01,27.44,25.4,6.84,2.1,0.778,36.0,12.1,3.71,1.074,-2.05,1.76,2026-08-03,S07,4.011695906432749,3.3120018028576843,1.922787731634459,3.58351893845611,0,-0.6186879558763347,-0.4868931355817696
UMC,United Microelectronics,1,USD,18.69,45.65,43.07,7.88,2.96,2.62,17.4,14.53,5.47,1.92,-2.64,1.57,2026-08-03,S09,5.793147208121828,3.8210036070409776,2.064327903869788,2.856470206220483,0,-0.019192610588017453,0.08064285474318827
TSEM,Tower Semiconductor,1,USD,234.32,26.42,25.08,1.71,0.276,0.29,92.65,90.77,14.67,0.301,-1.34,0.9,2026-08-04,S09,15.45029239766082,3.2741212990941793,0.5364933705145685,4.528828952731369,0,-2.333198114805974,1.9293045236518171
TSM,TSMC,1,USD,415.53,1850.0,,139.57,,,26.56,,,,,,2026-08-04,S09,13.254997492297772,7.52294091807237,4.938566267520553,3.279406324608233,1,2.0532293209470454,2.8999017187249465
ON,ON Semiconductor,1,USD,81.15,31.58,,6.2,,,51.93,,,,,,2026-08-04,S09,5.0935483870967735,3.452524008827496,1.824549292051046,3.9498966578562276,0,-0.8658458853713558,-0.20542526662519472
OMV,OMV Aktiengesellschaft,3,EUR,54.6,17.62,24.16,23.38,5.4,2.36,16.74,4.2,1.03,0.794,2.79,0.21,2026-06-30,S08,0.7536355859709154,2.8690346205080335,3.1518809560439225,2.817801065061329,0,0.28492898282549506,-1.4090501512129339
SHEL,Shell plc,3,USD,89.49,254.3,,296.6,,,9.79,,,,,,2026-08-04,S09,0.8573836817262306,5.538514672428074,5.692384429703832,2.281361456542419,1,2.730197729132016,-0.48215378078028004
TTE,TotalEnergies SE,3,USD,85.32,195.47,,196.38,,,10.96,,,,,,2026-08-04,S09,0.9953661268968327,5.275406914964931,5.280051557741144,2.3942522815198695,1,2.383597832286447,-0.5327200952104569
E,Eni S.p.A.,3,USD,53.49,79.46,,102.74,,,13.82,,,,,,2026-08-04,S09,0.773408604243722,4.375253750386452,4.632201525039122,2.626116818339524,1,1.6208159066083137,-0.8982812012131077
BP,BP p.l.c.,3,USD,42.3,114.52,,215.28,,,20.86,,,,,,2026-08-04,S09,0.5319583797844667,4.740749480229915,5.37193950641865,3.0378334495726262,1,1.841398437367507,-0.8551476115653815
BX,Blackstone Inc.,4,USD,136.27,169.49,,15.48,,,30.51,,,,,,2026-08-04,S09,10.948966408268735,5.1327939280299635,2.739548868161581,3.418054498728578,0,0.2092312896476287,1.6141737879078546
APO,Apollo Global Management,4,USD,130.19,75.06,,35.6,,,81.92,,,,,,2026-08-04,S09,2.108426966292135,4.318287793706875,3.572345637857985,4.4057431612911975,0,0.08432101277223955,-0.5929431724612453
ARES,Ares Management,4,USD,141.16,46.56,,5.99,,,62.43,,,,,,2026-08-04,S09,7.772954924874791,3.8407418034231826,1.7900914121273581,4.134045929073653,0,-0.9615328670565934,0.500783186850076
OWL,Blue Owl Capital,4,USD,11.42,17.8,,2.99,,,95.88,,,,,,2026-08-04,S09,5.953177257525083,2.8791984572980396,1.095273387402595,4.563097409566184,0,-1.7974099810531583,-0.21600954302292014
TPG,TPG Inc.,4,USD,48.76,18.74,,3.73,,,139.03,,,,,,2026-08-04,S09,5.024128686327077,2.930660276810276,1.3164082336557241,4.9346897371814515,0,-1.8541055171943188,-0.4045758159702307
TMO,Thermo Fisher Scientific,2,USD,565.99,209.27,,46.34,,,30.89,,,,,,2026-08-04,S09,4.515968925334485,5.343625284252578,3.8360055190042304,3.43043250693049,1,1.064204370356649,0.30464990221146915
WST,West Pharmaceutical Services,2,USD,345.71,24.33,,3.33,,,44.31,,,,,,2026-08-04,S09,7.306306306306306,3.1917101567954314,1.2029723039923526,3.7912103852113983,0,-1.2470834959340584,0.18744300029112426
ICLR,ICON plc,2,USD,156.62,12.08,,8.29,,,434.32,,,,,,2026-08-04,S09,1.457177322074789,2.4915511925066687,2.1150499691472033,6.073781589597195,0,-2.2002008897012444,-1.378105543200694
A,Agilent Technologies,2,USD,138.78,39.2,,7.23,,,28.06,,,,,,2026-08-04,S09,5.421853388658368,3.6686767467964168,1.9782390361706734,3.3343450746743146,0,-0.3746675643622856,-0.05559365753626059
